Remote_Ratio,Tigon,Sundial-CXL-improved,Sundial-CXL,Sundial-NET,TwoPL-CXL-improved,TwoPL-CXL,TwoPL-NET,Motor
0,4607430.0,5041940.0,3185480.0,3216600.0,4510150.0,2870160.0,2924120.0,1555170
10,2875950.0,2257780.0,885623.0,381766.0,2164850.0,544623.0,391489.0,1555170
20,2714030.0,1491070.0,398419.0,240829.0,1454670.0,406872.0,225351.0,1555170
30,2521620.0,1118330.0,358624.0,160170.0,1044580.0,363421.0,155305.0,1555170
40,2352890.0,882310.0,270304.0,125860.0,860811.0,264124.0,117375.0,1555170
50,2233500.0,734516.0,234123.0,99995.8,703355.0,145582.0,70491.6,1555170
60,2101350.0,635708.0,199055.0,85336.6,621636.0,194465.0,76799.6,1555170
70,1988530.0,550149.0,171729.0,65234.8,518541.0,140565.0,70122.4,1555170
80,1861800.0,496561.0,138775.0,65754.6,472811.0,132275.0,50952.0,1555170
90,1761510.0,345470.0,135796.0,54499.6,434937.0,107563.0,53014.0,1555170
100,1664700.0,400825.0,124738.0,52203.8,386684.0,118925.0,49829.8,1555170
