Remote_Ratio,Sundial-CXL-improved,TwoPL-CXL-improved,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,2559990.0,2482560.0,1685690.0,1666550.0,1730620.0,1640110.0
10,1952300.0,1822560.0,777250.0,974358.0,486440.0,517999.0
20,1591900.0,1463140.0,641479.0,653378.0,276790.0,273332.0
30,1351510.0,1220340.0,642210.0,508894.0,303791.0,280872.0
40,1180690.0,1046630.0,447541.0,455537.0,189484.0,206655.0
50,1025550.0,920604.0,491295.0,449175.0,167831.0,150224.0
60,841748.0,821590.0,296227.0,255573.0,138822.0,120904.0
70,859907.0,744689.0,365127.0,347871.0,154792.0,134605.0
80,722941.0,678122.0,260728.0,285598.0,134423.0,118639.0
90,733691.0,628233.0,296633.0,213419.0,104671.0,106319.0
100,680711.0,581983.0,141587.0,200005.0,76528.8,93088.2
